otu	statistic	p.value	parameter	method	WM	C	WMR	p.value.adj
Turicibacter (OTU 5)	1.6609200434919082	0.43584874029882226	2	Kruskal-Wallis rank sum test	0.016	0.011	0.025	0.4921122462993577
Porphyromonadaceae (OTU 21)	1.5555555555555338	0.4594258240359317	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Bacteroidales (OTU 38)	1.5555555555555338	0.4594258240359317	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Porphyromonadaceae (OTU 40)	1.5555555555555338	0.4594258240359317	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Porphyromonadaceae (OTU 44)	1.5555555555555338	0.4594258240359317	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Olsenella (OTU 114)	1.6734008756922238	0.4331373317605225	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 116)	2.1125425376763243	0.34775006236563755	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 121)	2.146083574834971	0.3419667436567409	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 135)	2.1338626329023795	0.34406271869099353	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 157)	1.705882352941454	0.4261596760770434	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Streptococcus (OTU 166)	1.705882352941454	0.4261596760770434	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Ruminococcaceae (OTU 169)	1.705882352941454	0.4261596760770434	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 177)	1.705882352941454	0.4261596760770434	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 183)	1.705882352941454	0.4261596760770434	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 184)	1.705882352941454	0.4261596760770434	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Clostridium (OTU 186)	1.5555555555555338	0.4594258240359317	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 189)	2.1125425376763243	0.34775006236563755	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Prevotella (OTU 191)	1.5555555555555338	0.4594258240359317	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Akkermansia (OTU 200)	1.705882352941454	0.4261596760770434	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
