otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	WMN	p.value.adj
Lachnospiraceae (OTU 317)	6.30000000000086	0.5051889407556349	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7363771000844848
Ruminococcaceae (OTU 335)	6.30000000000086	0.5051889407556349	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7363771000844848
Lachnospiraceae (OTU 550)	6.30000000000086	0.5051889407556349	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7363771000844848
Erysipelotrichaceae (OTU 814)	6.30000000000086	0.5051889407556349	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7363771000844848
Lachnospiraceae (OTU 994)	6.30000000000086	0.5051889407556349	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7363771000844848
Lachnospiraceae (OTU 135)	5.9584307391506695	0.544611513279173	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7893807327304867
Ruminococcaceae (OTU 169)	5.911973477281639	0.5500646439607244	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7898680634948849
Lachnospiraceae (OTU 203)	5.903420523138594	0.5510707419731755	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7898680634948849
Lachnospiraceae (OTU 163)	5.602721088435365	0.5868244145251613	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8364679499861415
Clostridium (OTU 172)	5.5745341614905835	0.5902095284489743	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8366706502188758
Lachnospiraceae (OTU 161)	5.509918666931211	0.5979877623019432	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8430647140650347
Alistipes (OTU 18)	5.0833333333336705	0.6497942701806285	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8565865291687891
Lachnospiraceae (OTU 124)	5.021164021164166	0.6573803595946521	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8565865291687891
Alistipes (OTU 139)	5.021164021164166	0.6573803595946521	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8565865291687891
Lachnospiraceae (OTU 180)	5.022132796780829	0.6572621315074693	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8565865291687891
Lachnospiraceae (OTU 185)	5.021164021164166	0.6573803595946521	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8565865291687891
Clostridium (OTU 201)	5.022132796780829	0.6572621315074693	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8565865291687891
Ruminococcaceae (OTU 219)	5.022132796780829	0.6572621315074693	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8565865291687891
Lachnospiraceae (OTU 220)	5.021164021164166	0.6573803595946521	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8565865291687891
Lachnospiraceae (OTU 244)	5.0833333333336705	0.6497942701806285	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8565865291687891
Coriobacteriaceae (OTU 252)	5.022132796780829	0.6572621315074693	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8565865291687891
Lactobacillus (OTU 294)	5.0833333333336705	0.6497942701806285	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8565865291687891
Lachnospiraceae (OTU 340)	5.021164021164166	0.6573803595946521	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8565865291687891
Akkermansia (OTU 347)	5.0833333333336705	0.6497942701806285	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8565865291687891
Akkermansia (OTU 504)	5.0833333333336705	0.6497942701806285	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8565865291687891
Clostridium (OTU 536)	5.0833333333336705	0.6497942701806285	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8565865291687891
Lachnospiraceae (OTU 193)	4.774999999999462	0.6873988858684033	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8912005655982314
Ruminococcus (OTU 93)	3.7746478873240394	0.8053369112712468	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Clostridiales (OTU 107)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 151)	4.050068027210987	0.7739928287934104	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 157)	3.7746478873240394	0.8053369112712468	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Acetatifactor (OTU 165)	3.435814889335784	0.8419764102570466	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Streptococcus (OTU 166)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 174)	2.708953722333749	0.9105587528936879	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 177)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 181)	3.435814889335784	0.8419764102570466	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Coriobacteriaceae (OTU 182)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 184)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 189)	4.206266390614124	0.7557367070844432	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 196)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Akkermansia (OTU 200)	4.490453186105285	0.7218665647310699	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Coriobacteriaceae (OTU 204)	3.435814889335784	0.8419764102570466	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Acetatifactor (OTU 206)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Clostridiales (OTU 208)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Bacteria (OTU 209)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Clostridiales (OTU 214)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Ruminococcaceae (OTU 216)	3.435814889335784	0.8419764102570466	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 222)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 238)	4.186809747372992	0.7580267681729741	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Bacteria (OTU 248)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Akkermansia (OTU 250)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Clostridiales (OTU 251)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Acetatifactor (OTU 263)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 266)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Parabacteroides (OTU 275)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Clostridiales_Incertae_Sedis_XIII (OTU 284)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 287)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Bacteria (OTU 293)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 295)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 301)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Anaeroplasma (OTU 302)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 307)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 343)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Akkermansia (OTU 348)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 349)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 351)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Butyricicoccus (OTU 402)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Ruminococcaceae (OTU 420)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Clostridiales (OTU 436)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Ruminococcaceae (OTU 450)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 487)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Clostridiales (OTU 531)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 687)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Clostridiales (OTU 874)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Acetatifactor (OTU 880)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 937)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Prevotella (OTU 996)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 1154)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Firmicutes (OTU 1187)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 1364)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Clostridiales (OTU 1496)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Akkermansia (OTU 1737)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Clostridiales (OTU 2062)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Akkermansia (OTU 2231)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lactobacillales (OTU 3125)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Lachnospiraceae (OTU 5801)	2.4761904761901956	0.9288792487310742	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9288792487310742
Porphyromonadaceae (OTU 67)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 99)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 100)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 105)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 122)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 130)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 136)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 146)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Staphylococcus (OTU 156)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 162)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 170)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 171)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 173)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Enterobacteriaceae (OTU 176)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroides (OTU 178)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridium (OTU 186)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 188)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Prevotella (OTU 191)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Veillonella (OTU 192)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 195)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 197)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 199)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Actinobacillus (OTU 202)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 205)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 207)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 210)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 211)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Corynebacterium (OTU 213)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 215)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 217)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacillus (OTU 218)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lactobacillus (OTU 221)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 223)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 224)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 225)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 227)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Listeria (OTU 228)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Dorea (OTU 229)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Streptococcus (OTU 230)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Fusobacterium (OTU 231)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 232)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Pasteurellaceae (OTU 233)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Anaerotruncus (OTU 234)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 235)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Oscillibacter (OTU 236)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroides (OTU 237)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 239)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 241)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 243)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Parabacteroides (OTU 245)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 246)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Acetatifactor (OTU 247)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 249)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 253)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 254)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Streptococcus (OTU 257)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 258)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 259)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Coriobacteriaceae (OTU 260)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroides (OTU 261)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Faecalibacterium (OTU 262)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Akkermansia (OTU 264)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Coriobacteriaceae (OTU 265)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Acidaminococcus (OTU 267)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridium (OTU 268)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 269)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 270)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 271)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 272)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Olsenella (OTU 274)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Alistipes (OTU 277)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 278)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 279)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 280)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Aerococcus (OTU 281)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroides (OTU 282)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 283)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 285)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Veillonellaceae (OTU 286)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 288)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 290)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 291)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 292)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroides (OTU 296)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 297)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Pseudomonas (OTU 298)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Turicibacter (OTU 299)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 300)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 303)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroidetes (OTU 304)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 305)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 308)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroides (OTU 309)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 310)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 311)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 312)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 313)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 314)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bradyrhizobium (OTU 315)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 316)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 318)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Roseburia (OTU 319)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Dialister (OTU 320)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 321)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 322)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridia (OTU 323)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Akkermansia (OTU 324)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 325)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 326)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Streptococcus (OTU 327)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 328)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 329)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 330)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Phascolarctobacterium (OTU 331)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Phenylobacterium (OTU 332)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroidales (OTU 333)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroidales (OTU 334)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Blautia (OTU 336)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 337)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
