otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	p.value.adj
Lachnospiraceae (OTU 128)	9.224495141964484	0.10043793452505281	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Lachnospiraceae (OTU 151)	9.021645509662735	0.10820389982215349	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Veillonella (OTU 192)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Anaerotruncus (OTU 234)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Porphyromonadaceae (OTU 253)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Clostridium (OTU 268)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Porphyromonadaceae (OTU 280)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Bacteroides (OTU 282)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Porphyromonadaceae (OTU 288)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Porphyromonadaceae (OTU 312)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Porphyromonadaceae (OTU 338)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Porphyromonadaceae (OTU 362)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Hungatella (OTU 427)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Porphyromonadaceae (OTU 578)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Lachnospiraceae (OTU 685)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Porphyromonadaceae (OTU 917)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Lachnospiraceae (OTU 981)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Porphyromonadaceae (OTU 1381)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Faecalibacterium (OTU 1826)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Bacteroidales (OTU 2888)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Porphyromonadaceae (OTU 4251)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Lachnospiraceae (OTU 5201)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Peptostreptococcaceae (OTU 5224)	8.999999999999915	0.10906415794977575	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.22948916568598646
Clostridium (OTU 145)	8.946093313235542	0.11123372891883597	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2324401369821193
Enterobacteriaceae (OTU 2)	8.703239999886215	0.12150262966574457	5	Kruskal-Wallis rank sum test	0.001	0	0.001	0.003	0.001	0.0025	0.25215956704603154
Lachnospiraceae (OTU 83)	8.630381327291014	0.12474672310133442	5	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0	0.25241196036136204
Lachnospiraceae (OTU 127)	8.66062550691598	0.1233906900696107	5	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0	0.25241196036136204
Lachnospiraceae (OTU 181)	8.625730994151954	0.12495641602047625	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.25241196036136204
Lachnospiraceae (OTU 287)	8.625730994151954	0.12495641602047625	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.25241196036136204
Lactobacillus (OTU 13)	8.227954370776258	0.14411202772238407	5	Kruskal-Wallis rank sum test	0.0075	0.01	0.0105	0.0125	0.0075	0.002	0.28917843973432034
Alistipes (OTU 18)	8.138418079096027	0.1487703180812122	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.29656188406978484
Lachnospiraceae (OTU 116)	8.038826976926348	0.15410873859710011	5	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0	0.30519573722170806
Olsenella (OTU 114)	7.967565222600594	0.15803225418719255	5	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.001	0.31093359103064505
Dorea (OTU 134)	7.5137125220459335	0.18515081029473104	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3619399710922807
Lactobacillus (OTU 23)	7.425418376297376	0.19087451252299503	5	Kruskal-Wallis rank sum test	0.005	0.006	0.006	0.008	0.003	0.002	0.36604416009156643
Lachnospiraceae (OTU 62)	7.427796133669564	0.1907183866910925	5	Kruskal-Wallis rank sum test	0	0.001	0.0025	0.001	0	0.002	0.36604416009156643
Clostridium (OTU 126)	7.428602756892226	0.19066544816420242	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.36604416009156643
Ruminococcaceae (OTU 37)	7.3317302349612685	0.19711480106010718	5	Kruskal-Wallis rank sum test	0	5e-4	0	0.003	0	0	0.37563386617114763
Lachnospiraceae (OTU 76)	7.050684797743559	0.2168980264064984	5	Kruskal-Wallis rank sum test	0	0.001	0.002	0	5e-4	0	0.4107506375073064
Clostridiales (OTU 141)	6.996557142857122	0.22089648354743274	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4157244379805722
Lachnospiraceae (OTU 180)	6.684729064039612	0.24516285606958374	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.44778094400161467
Clostridium (OTU 201)	6.684729064039612	0.24516285606958374	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.44778094400161467
Bacteria (OTU 209)	6.682808716707221	0.24531893301738625	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.44778094400161467
Clostridiales (OTU 251)	6.684729064039612	0.24516285606958374	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.44778094400161467
Coriobacteriaceae (OTU 252)	6.684729064039612	0.24516285606958374	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.44778094400161467
Lachnospiraceae (OTU 157)	6.31871345029233	0.27643011323031075	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5015468521484081
Firmicutes (OTU 235)	6.259816207184707	0.28175228648307005	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.505153507718167
Firmicutes (OTU 279)	6.259816207184707	0.28175228648307005	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.505153507718167
Lachnospiraceae (OTU 322)	6.171751412429434	0.2898637389389497	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5166394876382456
Lachnospiraceae (OTU 433)	6.103448275862216	0.2962827274062369	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5249922011935074
Bacteroides (OTU 178)	6.036158192090526	0.3027164551238734	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5332737552472886
Lachnospiraceae (OTU 111)	5.957472533378978	0.3103790492627404	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.5404876547506342
Ruminococcaceae (OTU 143)	5.964456147527031	0.30969287110402616	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5404876547506342
Lachnospiraceae (OTU 77)	5.890122852375489	0.3170577171363862	5	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0.5473453716323614
Lachnospiraceae (OTU 82)	5.88140851667534	0.31792998484255974	5	Kruskal-Wallis rank sum test	0	0.001	5e-4	0	0	0	0.5473453716323614
Lachnospiraceae (OTU 72)	5.862001226913075	0.3198792711297669	5	Kruskal-Wallis rank sum test	5e-4	0.001	0	0	5e-4	0	0.5475899387136688
Bifidobacterium (OTU 28)	5.731985413985374	0.3331774517811388	5	Kruskal-Wallis rank sum test	5e-4	0	5e-4	0	0	0.001	0.567150381402725
