otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	1RM1	WMN	CN	p.value.adj
Lactobacillus (OTU 23)	21.91895781441712	0.002623429983747918	7	Kruskal-Wallis rank sum test	0.003	0.008	0.004	0.002	0.003	0.002	0.005	0.014499999999999999	0.009484708402780933
Lachnospiraceae (OTU 77)	21.83644644431219	0.0027106611941242406	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.00969356013985734
Lachnospiraceae (OTU 144)	21.216444873987005	0.0034626666599614333	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.01224964872179905
Enterobacteriaceae (OTU 176)	21.090599825414618	0.003638346867415478	7	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0	0	0	0.012734214035954174
Clostridiales (OTU 97)	20.960600795830228	0.0038289023792561308	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.013189973556208283
Akkermansia (OTU 352)	20.94742606790815	0.003848746083270502	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.013189973556208283
Lachnospiraceae (OTU 127)	20.616279001770177	0.004381593645022955	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0	0.014789334104104816
Lachnospiraceae (OTU 193)	20.49999999999974	0.004585143096105445	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.014789334104104816
Lachnospiraceae (OTU 272)	20.49999999999974	0.004585143096105445	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.014789334104104816
Lachnospiraceae (OTU 448)	20.49999999999974	0.004585143096105445	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.014789334104104816
Bacteroidales (OTU 725)	20.49999999999974	0.004585143096105445	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.014789334104104816
Bacillales (OTU 1648)	20.49999999999974	0.004585143096105445	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.014789334104104816
Lachnospiraceae (OTU 71)	20.053688478851235	0.005454877161429156	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.01742383093310866
Ruminococcaceae (OTU 143)	19.82440046529058	0.005961727844811053	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.018859696739834963
Clostridium_sensu (OTU 53)	19.798935729535184	0.006020749731610558	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.018865015825713084
Lachnospiraceae (OTU 131)	19.76167986999803	0.006108119279662943	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.018958219273670834
Lachnospiraceae (OTU 128)	19.70760413056335	0.00623711591359761	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0	0.01917767416423938
Porphyromonadaceae (OTU 15)	19.11441074672448	0.007836391422534486	7	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0	0	0	0.02387197016679487
Lachnospiraceae (OTU 34)	18.95285709509164	0.008336310487913993	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.02516189128920829
Lachnospiraceae (OTU 76)	18.901331744250875	0.00850211237575371	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0	0.02542904519657246
