otu	method	WM	C	WMR	CWM	RM	FRM	M1	1RM1	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	M1-WM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	1RM1-WM	1RM1-C	1RM1-WMR	1RM1-CWM	1RM1-RM	1RM1-FRM	1RM1-M1
Lachnospiraceae (OTU 110)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	0.13193857499314163	0.040741336341817896	NA	NA	0.07818970108573461	0.29203280417837474	0.1865086364560951	0.40739751494997944	0.2780459151337626	NA	NA	0.29203280417837474	NA	0.42915590158141353	NA	NA	0.40739751494997944	NA	0.5408689571465413	NA	NA	NA	0.29203280417837474	NA	0.40739751494997944	NA	NA
Lachnospiraceae (OTU 111)	Kruskal-Wallis rank sum test	0	0.0025	0	0	0.0015	0.005	0	0	0.0026452131548364627	NA	0.03599910853782001	NA	8.162560466819489e-4	NA	0.003127154113244626	0.5415986204100067	0.03730333564065248	9.50522880374436e-4	8.162560466819489e-4	0.15200207791165551	0.01640330570595519	2.2661162801385003e-4	0.08697148762569236	NA	0.08697148762569236	NA	NA	0.08697148762569236	0.04347022889518692	NA	0.025581870397263926	NA	NA	0.026954316055246823	0.009757819389271507	NA
Lachnospiraceae (OTU 113)	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0	0	NA	0.01803051319703	0.0026249967879031213	NA	NA	0.009353109450675537	NA	NA	0.01803051319703	NA	NA	NA	0.15601225803691238	NA	NA	NA	NA	0.23027803926502755	NA	NA	NA	0.23027803926502755	0.15601225803691238	0.20440294003827744	0.20440294003827744	0.23027803926502755	0.5039762199898201	0.6373518882339371
Lachnospiraceae (OTU 116)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	0.2528180651623216	0.1263156204007319	NA	NA	0.20265377749303515	NA	NA	0.2528180651623216	NA	NA	NA	0.5007491239243922	NA	NA	NA	NA	0.6411172502600964	NA	NA	NA	0.1263156204007319	0.09149694485524695	0.6411172502600964	0.1263156204007319	0.1263156204007319	0.32210224443856955	0.4897868531550568
Lachnospiraceae (OTU 121)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.35613435036285124	0.10851007848777677	0.35613435036285124	NA	0.34248781138249224	0.05961214132422263	0.44914667291196353	0.7071305202336648	0.3443045281914094	0.4103181076637702	NA	0.5029403582994508	0.35613435036285124	NA	0.688155245835621	0.18542504213787364	0.4277060841344494	1	0.10851007848777677	0.4103181076637702	0.41902719788659437	0.03078186544539599	0.04611668292597816	0.4103181076637702	0.013750065099888735	0.05961214132422263	0.13517326139163455	0.7071305202336648
Lachnospiraceae (OTU 123)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17570088394526345	0.12662159126853473	0.39220945722185235	0.17570088394526345	0.17570088394526345	0.39220945722185235	0.31663230398941283	0.17570088394526345	0.5039762199898201	0.2725372533843699	0.31663230398941283	0.5039762199898201	0.8596837951986662
Blautia (OTU 132)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0	0.08413373614263328	NA	0.1874878630384944	0.2523368010316685	0.29535676771762776	0.4180941927823042	0.15972179092489644	0.4456312772347148	0.2774245853845463	0.6034785195343413	0.018224893798463083	0.4242263868228006	0.12733023591885495	0.1874878630384944	0.24988427926531856	NA	0.2774245853845463	NA	0.5038414561175935	0.395258641446446	0.1874878630384944	NA	0.1874878630384944	NA	0.395258641446446	0.2523368010316685	0.10131993329651587	NA
Dorea (OTU 134)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.04574847242762348	0.2892315730329931	NA	0.07042979080765739	NA	NA	0.09513551084466236	NA	NA	NA	0.2892315730329931	NA	NA	NA	NA	0.36349997771655035	NA	NA	NA	NA	NA	0.9553873356761022	0.04574847242762348	0.2898920199947126	0.07159184198693926	0.10526301700060992	0.2898920199947126	0.4081557109625473
Clostridiales (OTU 141)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	0.05271637766844754	0.02178262687676917	NA	NA	0.04172849892695584	NA	NA	0.05271637766844754	NA	NA	NA	0.20651864668727143	NA	NA	NA	NA	0.32412658775761904	NA	NA	NA	NA	NA	0.1881832038385044	NA	NA	NA	NA
Erysipelotrichaceae (OTU 142)	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0	0	0.9665565381263607	0.5839235478836108	0.5565567865422107	0.1902960216247235	0.10745911656944915	0.2158802807940729	0.4777888698171392	0.46475551030403994	NA	0.06730014315668056	0.5565567865422107	0.5565567865422107	0.4777888698171392	0.5565567865422107	0.1902960216247235	0.677378974983823	0.6198891034663625	NA	0.46475551030403994	NA	0.5565567865422107	0.9665565381263607	0.9665565381263607	0.6198891034663625	0.4777888698171392	0.4777888698171392	0.7299393215507971	0.7299393215507971
Lachnospiraceae (OTU 148)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.4022297906895752	NA	0.580721307339559	NA	0.38386738422935035	NA	NA	0.4022297906895752	NA	NA	NA	0.580721307339559	NA	NA	NA	NA	0.6566419342620566	NA	NA	NA	NA	0.05000661679112221	0.05434056887700339	0.2227094692854967	0.04779208218368139	0.05000661679112221	0.2227094692854967	0.38386738422935035
Lachnospiraceae (OTU 150)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.16099855681404399	0.35597732065599147	0.8139045469156878	0.16099855681404399	0.5829986107225837	NA	0.16099855681404399	0.6449933131535434	NA	NA	0.35597732065599147	0.8139045469156878	NA	NA	NA	0.9043091918996562	0.26769340275001086	0.4424927209682436	0.16099855681404399	0.1835707917164949	0.4424927209682436	0.8574923927218915	0.16759970370751434	0.3734438432489715	0.16099855681404399	0.16759970370751434	0.3734438432489715	1
Ruminococcaceae (OTU 153)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.4141314571353037	0.6560413343632919	NA	0.45340150896846604	NA	NA	0.4897868531550568	NA	NA	NA	0.6560413343632919	NA	NA	NA	NA	0.7388826803635273	NA	NA	NA	NA	NA	0.4141314571353037	0.09149694485524695	0.4141314571353037	0.1431836839738785	0.21052603400121983	0.4141314571353037	0.4897868531550568
Ruminococcaceae (OTU 169)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.15374493617915141	NA	0.3022616597596992	NA	0.09744827350727267	NA	0.09744827350727267	0.7504822306914263	0.2941882106291409	0.09744827350727267	0.3022616597596992	0.6020505380489447	0.508452956600152	0.2805975380672795	0.4930802988534844	NA	0.4352392583753679	NA	NA	0.36983067607840203	0.6411987702374257	NA	0.2941882106291409	NA	NA	0.2805975380672795	0.4930802988534844	NA
Lachnospiraceae (OTU 180)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.020194979857953203	0.004898280778580297	0.11992048346142131	0.012867099049452681	0.020194979857953203	0.11992048346142131	0.217043907756942
Clostridium (OTU 186)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1168177765468604	0.06818085683690331	0.30169958247834794	0.10633987691802123	0.1168177765468604	0.30169958247834794	NA	NA	NA	NA	NA	NA	0.30169958247834794
Lachnospiraceae (OTU 193)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.020194979857953203	0.004898280778580297	0.11992048346142131	0.012867099049452681	0.020194979857953203	0.11992048346142131	0.217043907756942
Lachnospiraceae (OTU 203)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1168177765468604	0.06818085683690331	0.30169958247834794	0.10633987691802123	0.1168177765468604	0.30169958247834794	NA	NA	NA	NA	NA	NA	0.30169958247834794
Porphyromonadaceae (OTU 253)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.019664502197751274	0.004812531621190013	0.11545351302264012	0.012584654718015263	0.019664502197751274	0.11545351302264012	0.20872513117532213
Porphyromonadaceae (OTU 254)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1168177765468604	0.06818085683690331	0.30169958247834794	0.10633987691802123	0.1168177765468604	0.30169958247834794	NA	NA	NA	NA	NA	NA	0.30169958247834794
Porphyromonadaceae (OTU 278)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0843393072929365	0.04899467061721998	0.25744992223982127	0.07657267640070729	0.0843393072929365	0.25744992223982127	0.37299848361348714
Bacteroides (OTU 296)	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0	NA	0.009256243749014278	0.0013713417246751115	NA	NA	0.004844374634710609	NA	NA	0.009256243749014278	NA	NA	NA	0.07793107988766136	NA	NA	NA	NA	0.1582247513999351	NA	NA	NA	NA	NA	0.06317772844414656	NA	NA	NA	NA
Hungatella (OTU 427)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	0.05328288605492258	0.021937642645594252	NA	NA	0.042102146738472485	NA	NA	0.05328288605492258	NA	NA	NA	0.20966457735883318	NA	NA	NA	NA	0.3291139859786081	NA	NA	NA	NA	NA	0.1909323018901049	NA	NA	NA	NA
Lachnospiraceae (OTU 492)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1168177765468604	0.06818085683690331	0.30169958247834794	0.10633987691802123	0.1168177765468604	0.30169958247834794	NA	NA	NA	NA	NA	NA	0.30169958247834794
Porphyromonadaceae (OTU 618)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0843393072929365	0.04899467061721998	0.25744992223982127	0.07657267640070729	0.0843393072929365	0.25744992223982127	0.37299848361348714
Bacteroides (OTU 740)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1168177765468604	0.06818085683690331	0.30169958247834794	0.10633987691802123	0.1168177765468604	0.30169958247834794	NA	NA	NA	NA	NA	NA	0.30169958247834794
Prevotella (OTU 1236)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1168177765468604	0.06818085683690331	0.30169958247834794	0.10633987691802123	0.1168177765468604	0.30169958247834794	NA	NA	NA	NA	NA	NA	0.30169958247834794
