otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	M1	1RM1	p.value.adj
Porphyromonadaceae (OTU 591)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Porphyromonadaceae (OTU 610)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Lachnospiraceae (OTU 685)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Porphyromonadaceae (OTU 867)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Porphyromonadaceae (OTU 1222)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Desulfovibrio (OTU 1337)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Porphyromonadaceae (OTU 2108)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Clostridia (OTU 2361)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Clostridiales (OTU 5498)	8.83333333333325	0.18317052711984913	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3028419381714839
Clostridium_sensu (OTU 53)	8.343712197580608	0.213987843444921	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3514502329426517
Ruminococcaceae (OTU 60)	7.970405576679334	0.2402794991817217	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3750075661041462
Acetatifactor (OTU 78)	7.968390804597681	0.2404282379458034	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3750075661041462
Lachnospiraceae (OTU 95)	7.968390804597681	0.2404282379458034	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3750075661041462
Lachnospiraceae (OTU 131)	7.970760233918107	0.24025332464967153	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3750075661041462
Acetatifactor (OTU 165)	7.968390804597681	0.2404282379458034	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3750075661041462
Enterobacteriaceae (OTU 176)	7.968390804597681	0.2404282379458034	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3750075661041462
Lachnospiraceae (OTU 225)	7.970760233918107	0.24025332464967153	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3750075661041462
Bacteroides (OTU 256)	7.970760233918107	0.24025332464967153	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.3750075661041462
Porphyromonadaceae (OTU 21)	7.756349206349219	0.25650278865295845	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.39335329831499394
Lachnospiraceae (OTU 76)	7.73031189083832	0.25853462752154843	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.39335329831499394
Lachnospiraceae (OTU 149)	7.756349206349219	0.25650278865295845	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.39335329831499394
Veillonella (OTU 192)	7.73031189083832	0.25853462752154843	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.39335329831499394
Lactobacillus (OTU 23)	7.1953165374676935	0.3031616820973323	6	Kruskal-Wallis rank sum test	0.006500000000000001	0.001	0.004	0.001	0.006	0.004	0.0025	0.45843961683011225
Clostridiales (OTU 137)	7.077380952380993	0.3137503381618184	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.47157626584321793
Lachnospiraceae (OTU 68)	6.670000000000076	0.35244595178867727	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5259410759839316
Acetatifactor (OTU 79)	6.5890804597700265	0.3605241246664047	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5259410759839316
