otu	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj
Erysipelotrichaceae (OTU 142)	3.424137931034502	0.3307352789246754	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lachnospiraceae (OTU 148)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Staphylococcus (OTU 156)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Enterobacteriaceae (OTU 176)	3.2464285714285555	0.3551686566124784	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Clostridiales (OTU 199)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Akkermansia (OTU 200)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lachnospiraceae (OTU 222)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lachnospiraceae (OTU 227)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Fusobacterium (OTU 231)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Streptococcus (OTU 257)	3.066666666666698	0.38146026539791505	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Bacteroides (OTU 261)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Alistipes (OTU 277)	3.5301724137930934	0.316869892725846	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lachnospiraceae (OTU 287)	3.1422413793104074	0.37021001803725034	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Alistipes (OTU 289)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lactobacillus (OTU 294)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Bacteroides (OTU 309)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lachnospiraceae (OTU 322)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Phascolarctobacterium (OTU 331)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Blautia (OTU 336)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Bilophila (OTU 339)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Blautia (OTU 398)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Clostridium (OTU 405)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Hungatella (OTU 427)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lachnospiraceae (OTU 434)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Ruminococcus (OTU 477)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Ruminococcaceae (OTU 494)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lactococcus (OTU 548)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Clostridium (OTU 583)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Veillonella (OTU 683)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Actinomyces (OTU 727)	3.1422413793104074	0.37021001803725034	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Bacteroidales (OTU 817)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Roseburia (OTU 904)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Atopobium (OTU 1091)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lachnospiraceae (OTU 1163)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lactobacillus (OTU 1339)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Lachnospiraceae (OTU 2028)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Firmicutes (OTU 3826)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Clostridiales (OTU 5494)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Butyricicoccus (OTU 5522)	2.875	0.41130192580658054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4747365511797348
Bacteroidales (OTU 38)	2.846666666666663	0.4158752564307491	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4752860073494275
Porphyromonadaceae (OTU 40)	2.846666666666663	0.4158752564307491	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4752860073494275
Porphyromonadaceae (OTU 122)	2.7413793103447643	0.43324105325262113	3	Kruskal-Wallis rank sum test	0	0	0	0	0.49270551154219655
Lachnospiraceae (OTU 149)	2.707408116385891	0.43896983026576875	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4967853688861382
Lachnospiraceae (OTU 120)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Lachnospiraceae (OTU 174)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Coriobacteriaceae (OTU 182)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Lachnospiraceae (OTU 225)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Anaerotruncus (OTU 234)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Parabacteroides (OTU 245)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
