otu	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	WMN	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM	M1-WM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	M1-WMC	WMN-WM	WMN-C	WMN-WMR	WMN-CWM	WMN-RM	WMN-FRM	WMN-WMC	WMN-M1
Lachnospiraceae (OTU 29)	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0.0015	0	0.0015	0	0.15625416364824732	NA	0.12524406852414738	0.08690169126713636	0.3631391902886984	0.0627815970460446	0.21877532818368955	1	0.15625416364824732	0.39991378491862156	0.07659184816473143	0.3287839892769408	0.05747085784067478	0.9700968423354754	0.39991378491862156	NA	0.6055792010176956	NA	0.5303949931722124	0.6836617590618234	0.5303949931722124	0.05445845607442931	0.12524406852414738	0.040214992335613084	0.4280082263155295	0.15625416364824732	0.598927507624389	0.4644847047215352	0.5246641203444042	0.4644847047215352	0.4644847047215352	0.30332171089887977	0.5448476822095467	0.26398373176087925	1	0.12524406852414738
Lachnospiraceae (OTU 32)	Kruskal-Wallis rank sum test	0	0.002	0.0015	0.002	0.001	0.002	0	0.003	0	0.0088055282784200075	0.05606176692906274	0.9270453120601025	0.0088055282784200075	0.9814160476709326	0.9783348400303414	0.04176405429309036	0.6357763561604731	0.9783348400303414	0.815257592743845	0.02766571262366046	1	0.9795848941044112	1	0.9270453120601025	NA	0.386041156769759	0.5918497323845786	0.386041156769759	0.5288169909744064	0.49144538435760665	0.0088055282784200075	0.386041156769759	0.49144538435760665	0.386041156769759	0.3816752445039022	0.386041156769759	0.386041156769759	0.5806559434641628	0.052811216764593646	0.2238970133488939	0.06105611270554314	0.21886574906538012	0.15460386621963507	1	0.052811216764593646
Clostridiales (OTU 35)	Kruskal-Wallis rank sum test	0	0.0045000000000000005	0	0.007	0.002	0.0025	0	0.022	0	0.0013944443924796988	NA	0.0010335115015846098	0.001109404742659434	0.87580737551192	0.0010335115015846098	0.006695081625089018	0.05381455224157217	0.004112444656611387	0.05381455224157217	0.006695081625089018	0.29892865175013494	0.004112444656611387	0.22548387374401002	0.6567081086707204	NA	0.22548387374401002	NA	0.1993484074382895	0.31643371250832575	0.335304295203122	0.006695081625089018	0.07688403152889688	0.004112444656611387	0.05563683089689056	0.034169721202471	0.07688403152889688	0.335304295203122	NA	0.0013944443924796988	NA	0.001109404742659434	0.006695081625089018	0.006695081625089018	NA	0.006695081625089018
Lachnospiraceae (OTU 36)	Kruskal-Wallis rank sum test	0	0.0015	0	0.001	0	0.0025	0	0.0045000000000000005	0	0.009377043801120394	0.5236097345457025	0.009377043801120394	0.006604146208815006	0.821081510810601	0.006604146208815006	0.1288779618739259	0.2874531218553812	0.19330107625159249	0.19380881133891442	0.006604146208815006	0.46926287939199623	0.006604146208815006	0.6113751900396159	0.18762234107805234	NA	0.36079825732046944	1	0.3089741450359261	0.6113751900396159	0.3089741450359261	0.014234624028869176	0.19330107625159249	0.013891925030053147	0.3045330661973115	0.15537837735900462	0.44630941818923986	0.4381309457320794	0.47696738213127654	0.023159809535003986	0.9235294569365926	0.015084001558125509	0.3045330661973115	0.014234624028869176	1	0.0209975790265269
Bacteroidales (OTU 38)	Kruskal-Wallis rank sum test	0	0.015	0	0.011	0.02	0.0165	0	0.0095	0	6.515538287986853e-4	0.4400265246633956	2.510259429446107e-4	6.01113533969764e-4	0.893441117259046	2.510259429446107e-4	7.808841340086528e-4	0.5472793403361275	4.3970111565329583e-4	0.5472793403361275	0.003220930862946635	0.7409634267262223	7.808841340086528e-4	0.9407878127739308	1	1	0.24680537091125385	NA	0.24680537091125385	0.24680537091125385	0.32963047436501913	0.003220930862946635	0.3128572847397808	7.808841340086528e-4	0.24680537091125385	0.06736152265261988	0.5083647576280883	0.43478260869565216	1	7.808841340086528e-4	0.4400265246633956	6.538859054284592e-4	7.808841340086528e-4	0.005902927536022602	1	0.007084982720846314
Erysipelotrichaceae (OTU 39)	Kruskal-Wallis rank sum test	0.002	0.001	0.0055	0.001	0.001	0	0	0	0	0.6875494221375094	0.2922376791413174	0.0966774216172173	0.5814295285787924	0.45015174444424166	0.2922376791413174	0.5814295285787924	0.6951539465308849	0.07790860792016195	0.48890587271686914	0.5814295285787924	0.5814295285787924	0.16953437256165726	0.26128836356264995	0.6655147211715906	0.5814295285787924	0.47063328497688733	0.43999175885988073	0.3759648407550923	0.43999175885988073	0.7774003273468748	0.0966774216172173	0.07395841391147767	0.04858334370754751	0.04858334370754751	0.04858334370754751	0.3618059851498752	NA	0.19269070726362547	0.0966774216172173	0.04858334370754751	0.04858334370754751	0.08005472771733169	0.6655147211715906	0.7892680261342813	0.43999175885988073
Porphyromonadaceae (OTU 40)	Kruskal-Wallis rank sum test	0	0.016	0	0.018	0.022	0.0335	0	0.0195	0	3.223221833454446e-4	0.20365678262110246	2.1356629318872855e-4	4.6987581606673055e-4	0.8257853390965456	2.2898665135280856e-4	7.891990745386567e-4	0.3928808255923175	3.223221833454446e-4	0.3928808255923175	0.004281025111044876	0.07996632996632996	8.268045631770036e-4	0.07996632996632996	0.2881048776907513	0.8388145849370257	0.20365678262110246	NA	0.20365678262110246	0.22436851901023075	0.3928808255923175	0.02510354029941317	0.8467691592990082	0.003598389074534963	0.8257853390965456	0.4499981928189469	0.07996632996632996	0.3928808255923175	0.6880350892431198	3.223221833454446e-4	0.3928808255923175	4.6987581606673055e-4	7.865494439775175e-4	0.003598389074534963	1	0.016498097806556852
Lachnospiraceae (OTU 41)	Kruskal-Wallis rank sum test	0	0.001	0	0.001	0.001	0.0015	0	0.002	0	0.08405154476746163	1	0.049220441042585904	0.049220441042585904	0.6155881894911077	0.046826437838493516	0.08405154476746163	1	0.049220441042585904	0.849304374803836	0.07658710718128171	1	0.047625486538445366	1	1	1	0.6155881894911077	1	0.533360144593742	0.6155881894911077	0.6155881894911077	0.2540672646567116	0.849304374803836	0.17713401810816912	1	1	1	0.9096565709077272	1	0.07658710718128171	1	0.047625486538445366	0.07658710718128171	0.049220441042585904	1	0.2540672646567116
Bacteria (OTU 43)	Kruskal-Wallis rank sum test	0	0.0015	0	0.002	0.0015	0	0	0.001	0	0.03567569132160306	NA	0.035026305687730075	0.035026305687730075	1	0.033693919835653945	0.04605607911742267	0.6711854175805173	0.0356544720936861	0.5290892448430997	0.5186026897818591	0.14932054617718307	0.4761281090955002	0.089057970558082	0.21615741662475	NA	0.5290892448430997	NA	0.510922528833815	0.5290892448430997	1	0.04605607911742267	0.6863420171355261	0.0356544720936861	0.5290892448430997	1	0.26277477213343187	0.5424125137933713	0.5290892448430997	0.06303723784335656	0.5186026897818591	0.0356544720936861	0.089057970558082	0.9470316633927156	1	0.10333940204497438
Porphyromonadaceae (OTU 44)	Kruskal-Wallis rank sum test	0	0.0165	0	0.012	0.0175	0.013000000000000001	0	0.0085	0	3.774251718535687e-4	0.37933321091672034	2.0843552441246992e-4	5.094640560051704e-4	1	2.2972211052071462e-4	7.516405119790941e-4	0.28705922758299884	3.774251718535687e-4	0.3237184050449239	0.003220930862946635	0.9592235160198543	7.516405119790941e-4	1	0.28705922758299884	1	0.2176212244795572	NA	0.22458338494484054	0.24392586656470652	0.37037037037037035	0.003220930862946635	0.12360175250793026	7.516405119790941e-4	0.28705922758299884	0.021386928515326756	0.3237184050449239	0.37037037037037035	1	5.094640560051704e-4	0.37933321091672034	5.622229529518508e-4	7.516405119790941e-4	0.004486779564120602	1	0.00374849505636887
Oscillibacter (OTU 45)	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0.001	0	0.006	0	0.5904259806830443	1	0.5394623267669187	0.1889113978590023	0.31668449123985665	0.18407101205798213	0.773219615712888	0.9570068932761238	0.7092156265801695	0.31668449123985665	0.2683943405609452	0.45236937582549197	0.1889113978590023	1	0.4787560565601237	1	0.773219615712888	1	0.5904259806830443	0.9219528075837948	0.6760533909709444	0.026999129495195888	0.023188735493119297	0.03552623633776244	0.035708763706339165	0.026487630088227625	0.09743352466959837	0.45236937582549197	1	0.575576321554469	1	0.18407101205798213	0.7087190595866413	0.21047919730403436	1	0.026487630088227625
