otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	WMN	p.value.adj
Erysipelotrichaceae (OTU 39)	10.779714573238124	0.02915451900380291	4	Kruskal-Wallis rank sum test	0	0	0	0.001	5e-4	0.12462084974089624
Lachnospiraceae (OTU 64)	10.776131788316713	0.029198604890982936	4	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0.12462084974089624
Ruminococcaceae (OTU 153)	10.477717441511343	0.03310531443902169	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1398530630383161
Lachnospiraceae (OTU 180)	10.30809698804936	0.035545620000023044	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.14864532000009636
Turicibacter (OTU 5)	9.833445209186646	0.043328705325142214	4	Kruskal-Wallis rank sum test	0.012	0.026	0.021	0.05	0.0215	0.15926995016934528
Lachnospiraceae (OTU 33)	9.982240901647382	0.040727896540964426	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.15926995016934528
Lachnospiraceae (OTU 66)	9.946779175531827	0.04133378596509076	4	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0.15926995016934528
Lachnospiraceae (OTU 144)	9.80968858131485	0.043758420749584304	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.15926995016934528
Clostridium (OTU 145)	10.02073086969387	0.04007991737613657	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.15926995016934528
Firmicutes (OTU 155)	9.878182616330133	0.042530442518458916	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.15926995016934528
Lachnospiraceae (OTU 161)	9.805626598465444	0.04383230258017478	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.15926995016934528
