otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	WMC	M1	p.value.adj
Ruminococcaceae (OTU 50)	6.494869111207364	0.37009226972529236	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Lachnospiraceae (OTU 113)	6.5122112982289915	0.36831784461784906	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Lachnospiraceae (OTU 120)	6.71614441930627	0.3478974549322362	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Lachnospiraceae (OTU 135)	6.879013762849937	0.3321810972783221	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Alistipes (OTU 139)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Erysipelotrichaceae (OTU 142)	6.784136904761978	0.34127236224039464	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Staphylococcus (OTU 156)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Anaerostipes (OTU 159)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Bacteroides (OTU 178)	6.653282434239842	0.35410423421548115	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Porphyromonadaceae (OTU 194)	6.637414341072998	0.355683376176809	6	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0	0.701324851129429
Bacteroides (OTU 237)	6.707059617575673	0.3487896133897041	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Parabacteroides (OTU 245)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Faecalibacterium (OTU 262)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Olsenella (OTU 274)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Aerococcus (OTU 281)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Bacteria (OTU 310)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Phascolarctobacterium (OTU 331)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Bacteroides (OTU 361)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Ruminococcus (OTU 477)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Ralstonia (OTU 484)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Porphyromonadaceae (OTU 552)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Bacteroides (OTU 556)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Streptococcus (OTU 662)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Porphyromonadaceae (OTU 668)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Comamonadaceae (OTU 684)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Enterobacteriaceae (OTU 1756)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Enterobacteriaceae (OTU 4193)	6.500000000000003	0.36956666839610014	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.701324851129429
Ruminococcaceae (OTU 37)	6.425781326918559	0.37721993408078347	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.7112753980926215
Lachnospiraceae (OTU 70)	6.300558353537728	0.3903770909290482	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7324401854559864
Lachnospiraceae (OTU 149)	6.103448275862216	0.4117021635948254	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7574520388467905
Lachnospiraceae (OTU 249)	6.103448275862216	0.4117021635948254	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7574520388467905
Akkermansia (OTU 352)	6.103448275862216	0.4117021635948254	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7574520388467905
Porphyromonadaceae (OTU 375)	6.103448275862216	0.4117021635948254	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7574520388467905
Lachnospiraceae (OTU 31)	5.989499336257786	0.4243674036893699	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.7732828270098333
Ruminococcaceae (OTU 59)	5.989321064942132	0.42438740901858923	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7732828270098333
Lachnospiraceae (OTU 112)	5.9355067873303895	0.43045335466927737	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7805828776060102
Dorea (OTU 134)	5.858219950029874	0.4392585024982459	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7927570116515962
Firmicutes (OTU 155)	5.837711580358647	0.44161328560431684	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7932295509196023
Peptostreptococcaceae (OTU 12)	4.846855983772711	0.5635998965278417	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 86)	4.991358340437671	0.5449219541529211	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 88)	5.557490337090013	0.4745356307764359	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 102)	5.624177380832403	0.4665770250753185	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 103)	5.10116793627712	0.5309046923154992	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 111)	5.013071895424705	0.5421376423319068	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 117)	5.710767683715559	0.45635712644173765	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 123)	4.831896551724034	0.5655475710518688	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Clostridium (OTU 145)	5.284749115852015	0.5078444389473991	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Coriobacteriaceae (OTU 158)	5.756042944639676	0.4510657127831689	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 160)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 164)	5.146044624746263	0.525223061476917	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 167)	5.013071895424705	0.5421376423319068	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Clostridiales (OTU 179)	5.216030271757839	0.5164192846977772	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 185)	4.846855983772711	0.5635998965278417	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Clostridium (OTU 186)	5.469275210083952	0.4851779651616588	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Veillonella (OTU 192)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Clostridiales (OTU 199)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Akkermansia (OTU 200)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Ruminococcaceae (OTU 207)	4.846855983772711	0.5635998965278417	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Bacteria (OTU 209)	5.1445663010965195	0.5254097780981424	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Clostridiales (OTU 214)	5.146044624746263	0.525223061476917	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Ruminococcaceae (OTU 217)	5.31332160304572	0.504299979917242	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Clostridiales (OTU 226)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Clostridiales (OTU 251)	5.216030271757839	0.5164192846977772	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Coriobacteriaceae (OTU 252)	4.846855983772711	0.5635998965278417	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Bacteroides (OTU 256)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Streptococcus (OTU 257)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 259)	4.846855983772711	0.5635998965278417	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Porphyromonadaceae (OTU 278)	4.846855983772711	0.5635998965278417	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Porphyromonadaceae (OTU 290)	5.1445663010965195	0.5254097780981424	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Porphyromonadaceae (OTU 300)	5.1445663010965195	0.5254097780981424	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Ruminococcaceae (OTU 308)	5.2480842911878245	0.512410805911867	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Bacteroides (OTU 309)	4.8578389830509225	0.5621715594069939	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Porphyromonadaceae (OTU 313)	4.846855983772711	0.5635998965278417	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Bacteroidales (OTU 334)	5.146044624746263	0.525223061476917	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Bilophila (OTU 339)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Streptococcus (OTU 354)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 359)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Blautia (OTU 369)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Porphyromonadaceae (OTU 378)	5.216030271757839	0.5164192846977772	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Porphyromonadaceae (OTU 383)	5.146044624746263	0.525223061476917	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Blautia (OTU 398)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Bacteroides (OTU 400)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Butyricicoccus (OTU 402)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Anaerofustis (OTU 443)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Odoribacter (OTU 465)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Coriobacteriaceae (OTU 528)	4.846855983772711	0.5635998965278417	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Clostridium (OTU 583)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Ruminococcaceae (OTU 857)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 1049)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lactobacillus (OTU 1121)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 1241)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Porphyromonadaceae (OTU 1663)	4.846855983772711	0.5635998965278417	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Clostridiales (OTU 2576)	4.999999999999824	0.5438131158833522	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8057989828145048
Lachnospiraceae (OTU 131)	4.772058823529363	0.5733630215315095	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8067698117490046
Lachnospiraceae (OTU 163)	4.761518716577525	0.5747436653620878	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8067698117490046
Lachnospiraceae (OTU 292)	4.772058823529363	0.5733630215315095	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8067698117490046
Lachnospiraceae (OTU 328)	4.772058823529363	0.5733630215315095	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8067698117490046
Lachnospiraceae (OTU 157)	4.691721132897517	0.5839151981133915	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8127914207445619
Lachnospiraceae (OTU 243)	4.679946524064159	0.5854671711431805	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8127914207445619
Porphyromonadaceae (OTU 253)	4.709716386554666	0.581545909757554	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8127914207445619
Lachnospiraceae (OTU 162)	4.555033332147041	0.602009620524741	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.829678713377734
Acetatifactor (OTU 165)	4.566315831030449	0.6005099171400052	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.829678713377734
Lachnospiraceae (OTU 95)	4.191710434173671	0.6507506203407507	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Lachnospiraceae (OTU 144)	4.000000000000091	0.6766764161830513	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Ruminococcaceae (OTU 169)	4.000000000000091	0.6766764161830513	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Lachnospiraceae (OTU 227)	4.000000000000091	0.6766764161830513	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Lachnospiraceae (OTU 238)	4.000000000000091	0.6766764161830513	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Lachnospiraceae (OTU 266)	4.000000000000091	0.6766764161830513	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Alistipes (OTU 277)	4.000000000000091	0.6766764161830513	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Ruminococcaceae (OTU 420)	4.000000000000091	0.6766764161830513	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Porphyromonadaceae (OTU 502)	4.000000000000091	0.6766764161830513	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Clostridiales (OTU 519)	4.000000000000091	0.6766764161830513	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Porphyromonadaceae (OTU 678)	4.000000000000091	0.6766764161830513	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Porphyromonadaceae (OTU 778)	4.000000000000091	0.6766764161830513	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Lachnospiraceae (OTU 1329)	4.000000000000091	0.6766764161830513	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Porphyromonadaceae (OTU 1509)	4.000000000000091	0.6766764161830513	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Porphyromonadaceae (OTU 3004)	4.000000000000091	0.6766764161830513	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Porphyromonadaceae (OTU 4283)	4.000000000000091	0.6766764161830513	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8813070849944208
Lachnospiraceae (OTU 180)	3.9754010695186546	0.6800054773100098	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8826098489742935
Blautia (OTU 132)	3.949443154454775	0.6835181745496831	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8841412564994194
Lachnospiraceae (OTU 193)	3.8359133126934792	0.6988704227911255	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8978708143655477
Lachnospiraceae (OTU 272)	3.8359133126934792	0.6988704227911255	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8978708143655477
Lachnospiraceae (OTU 42)	3.312401000429252	0.7687381531188614	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Ruminococcaceae (OTU 65)	3.446400928792484	0.7510866265414424	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 67)	3.50853688933204	0.7428335550783652	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Lachnospiraceae (OTU 72)	3.8009559638225454	0.7035913103965217	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Lachnospiraceae (OTU 83)	3.1940049583051175	0.7841328406822505	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Lachnospiraceae (OTU 151)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Streptococcus (OTU 166)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Lachnospiraceae (OTU 181)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Firmicutes (OTU 198)	3.648588281923961	0.7241071036857496	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Coriobacteriaceae (OTU 204)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Lachnospiraceae (OTU 211)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Bacteria (OTU 223)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Dorea (OTU 229)	3.6543773649810496	0.7233299287035555	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 246)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Coriobacteriaceae (OTU 260)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Coriobacteriaceae (OTU 265)	3.490884072927289	0.7451821325518027	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 288)	3.0288770053475345	0.805213832984806	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Lachnospiraceae (OTU 305)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 312)	3.4550945378151225	0.7499342723804463	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 314)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Lachnospiraceae (OTU 316)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 330)	3.2879256965943537	0.7719374588798144	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Lachnospiraceae (OTU 349)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Lachnospiraceae (OTU 370)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 426)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Clostridiales (OTU 436)	3.575304259634823	0.7339253312303802	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 438)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 470)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Bacteroides (OTU 474)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 495)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 508)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Clostridiales (OTU 516)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 517)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 520)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 521)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Clostridiales (OTU 531)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 544)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 554)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 555)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 570)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Firmicutes (OTU 649)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 664)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 733)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Oscillibacter (OTU 752)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Lachnospiraceae (OTU 755)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 767)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Lachnospiraceae (OTU 781)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Ruminococcaceae (OTU 969)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 1070)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Lachnospiraceae (OTU 1124)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 1189)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 1190)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 1380)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 1452)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Lachnospiraceae (OTU 1805)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 1963)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 2166)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Bacteroidales (OTU 2758)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Coriobacteriaceae (OTU 2884)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 2950)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 2976)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Porphyromonadaceae (OTU 3019)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Lachnospiraceae (OTU 3471)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
Clostridiales (OTU 4055)	2.5294117647057863	0.8651616075004557	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.8983458883360896
