otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	1RM1	p.value.adj
Lachnospiraceae (OTU 5388)	3.636363636363208	0.45744899514890813	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5908716187340064
Lachnospiraceae (OTU 17)	3.5563271019901284	0.4693655289135836	4	Kruskal-Wallis rank sum test	0.006500000000000001	0.006	0.004999999999999999	0.041	0.004	0.6031225449252265
Blautia (OTU 19)	3.3825068005858627	0.49596676173436366	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6340193655160937
Lactobacillus (OTU 13)	2.964450688973553	0.5637920109936485	4	Kruskal-Wallis rank sum test	0.0035	0.006	0.006	0.017	0.005	0.7170277883406401
Ruminococcaceae (OTU 59)	1.8070707070707186	0.7711884719795666	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Lachnospiraceae (OTU 85)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Lachnospiraceae (OTU 104)	2.505343311926973	0.6436792464307257	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.7972071808362095
Lachnospiraceae (OTU 112)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Lachnospiraceae (OTU 117)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Lachnospiraceae (OTU 149)	1.7939814814815467	0.7735832935473422	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Lachnospiraceae (OTU 150)	1.8961507611397368	0.7548520722633245	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Lachnospiraceae (OTU 151)	1.7702535559676045	0.7779199103321077	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Lachnospiraceae (OTU 163)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Ruminococcaceae (OTU 169)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Enterococcus (OTU 187)	1.7702535559676045	0.7779199103321077	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Prevotella (OTU 191)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Lachnospiraceae (OTU 203)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Lactobacillus (OTU 221)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Lachnospiraceae (OTU 241)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Parabacteroides (OTU 245)	1.7702535559676045	0.7779199103321077	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Bacteroides (OTU 256)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Porphyromonadaceae (OTU 258)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Coriobacteriaceae (OTU 260)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Bacteroides (OTU 261)	1.7702535559676045	0.7779199103321077	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Parabacteroides (OTU 275)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Bacteroides (OTU 282)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Bacteroides (OTU 296)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Akkermansia (OTU 306)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Bacteroides (OTU 309)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Phascolarctobacterium (OTU 331)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Erysipelotrichaceae (OTU 344)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Akkermansia (OTU 348)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Turicibacter (OTU 374)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Clostridium_sensu (OTU 397)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Lactobacillus (OTU 412)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Lachnospiraceae (OTU 417)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Hungatella (OTU 427)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Odoribacter (OTU 465)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Lachnospiraceae (OTU 534)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Anaerotruncus (OTU 580)	1.7702535559676045	0.7779199103321077	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Clostridiales (OTU 638)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Escherichia/Shigella (OTU 675)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Porphyromonadaceae (OTU 822)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Bacillaceae_ (OTU 1302)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Porphyromonadaceae (OTU 1608)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Megasphaera (OTU 2010)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Barnesiella (OTU 2117)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Lachnospiraceae (OTU 2623)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Bacteroides (OTU 3209)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Peptostreptococcaceae (OTU 3610)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Bradyrhizobium (OTU 5584)	1.833333333333257	0.7663785041609714	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7972071808362095
Akkermansia (OTU 3)	1.7330773573112412	0.7847006771253593	4	Kruskal-Wallis rank sum test	0.012	0.088	0.138	0.003	0.06	0.8008467815929593
Olsenella (OTU 114)	1.527581429494363	0.8217447899597018	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.8352160160246149
Coriobacteriaceae (OTU 182)	0.8503401360543638	0.9315746846060435	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.9391484625296699
Escherichia/Shigella (OTU 342)	0.8503401360543638	0.9315746846060435	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.9391484625296699
Lactobacillus (OTU 23)	0.5886093052828857	0.9643210026832534	4	Kruskal-Wallis rank sum test	0.003	0.004	0.002	0.003	0.002	0.9682251362973555
Anaerotruncus (OTU 234)	0.43004878719157325	0.9799436196212193	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.9799436196212193
Lachnospiraceae (OTU 34)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteria (OTU 43)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Ruminococcaceae (OTU 54)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 71)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Anaeroplasma (OTU 89)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 90)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Ruminococcaceae (OTU 92)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Ruminococcus (OTU 93)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Firmicutes (OTU 96)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Ruminococcaceae (OTU 98)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 99)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Ruminococcaceae (OTU 100)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteria (OTU 105)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Ruminococcaceae (OTU 118)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 124)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Firmicutes (OTU 129)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales (OTU 130)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 131)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 133)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Alistipes (OTU 139)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 144)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridium (OTU 145)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 146)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales (OTU 154)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Firmicutes (OTU 155)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Staphylococcus (OTU 156)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 157)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 160)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 162)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 164)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Streptococcus (OTU 166)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteria (OTU 168)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales (OTU 170)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales (OTU 171)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridium (OTU 172)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales (OTU 173)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 174)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 177)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales (OTU 179)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 180)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 183)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 184)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 185)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Firmicutes (OTU 188)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 193)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 194)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales (OTU 195)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 196)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridium (OTU 201)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Actinobacillus (OTU 202)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Acetatifactor (OTU 206)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales (OTU 208)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteria (OTU 209)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Firmicutes (OTU 210)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 211)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 212)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Corynebacterium (OTU 213)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales (OTU 214)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteria (OTU 215)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Ruminococcaceae (OTU 216)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Ruminococcaceae (OTU 217)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacillus (OTU 218)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Ruminococcaceae (OTU 219)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 222)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteria (OTU 223)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales (OTU 224)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Listeria (OTU 228)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Dorea (OTU 229)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Streptococcus (OTU 230)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Fusobacterium (OTU 231)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteria (OTU 232)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Pasteurellaceae (OTU 233)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Firmicutes (OTU 235)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Oscillibacter (OTU 236)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteroides (OTU 237)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 238)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Pseudoflavonifractor (OTU 240)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lactobacillales (OTU 242)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 243)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 244)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 246)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Acetatifactor (OTU 247)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteria (OTU 248)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 249)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Akkermansia (OTU 250)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales (OTU 251)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Coriobacteriaceae (OTU 252)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 253)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 254)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 255)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Streptococcus (OTU 257)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 259)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Acetatifactor (OTU 263)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Coriobacteriaceae (OTU 265)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 266)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Acidaminococcus (OTU 267)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales (OTU 269)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Firmicutes (OTU 270)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 271)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 272)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Blautia (OTU 273)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Olsenella (OTU 274)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 276)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Alistipes (OTU 277)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 278)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Firmicutes (OTU 279)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 280)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Aerococcus (OTU 281)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteria (OTU 283)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales_Incertae_Sedis_XIII (OTU 284)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 285)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Veillonellaceae (OTU 286)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 287)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 288)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 290)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteria (OTU 291)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteria (OTU 293)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lactobacillus (OTU 294)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 297)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Pseudomonas (OTU 298)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Turicibacter (OTU 299)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 300)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 301)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Anaeroplasma (OTU 302)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 303)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteroidetes (OTU 304)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 307)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Ruminococcaceae (OTU 308)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteria (OTU 310)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 311)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 312)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 313)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bradyrhizobium (OTU 315)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 318)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Roseburia (OTU 319)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 321)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 322)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridia (OTU 323)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Akkermansia (OTU 324)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 325)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Streptococcus (OTU 327)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 328)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales (OTU 329)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 330)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Phenylobacterium (OTU 332)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteroidales (OTU 333)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteroidales (OTU 334)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Ruminococcaceae (OTU 335)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Blautia (OTU 336)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteria (OTU 337)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bilophila (OTU 339)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 340)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales (OTU 341)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 343)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridium_sensu (OTU 345)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Butyrivibrio (OTU 346)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 349)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Fusobacterium (OTU 350)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 351)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Streptococcus (OTU 354)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 355)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Parasutterella (OTU 356)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Ruminococcaceae (OTU 357)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Akkermansia (OTU 360)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteroides (OTU 361)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 362)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Terrisporobacter (OTU 363)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 364)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 365)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Clostridiales (OTU 366)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteroides (OTU 367)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Veillonella (OTU 368)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Blautia (OTU 369)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Lachnospiraceae (OTU 370)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Oscillibacter (OTU 371)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 372)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 373)	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
