genus	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj	day
Pasteurellaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Pectinatus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Peptostreptococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Phascolarctobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Phocaeicola	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Phyllobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Phyllobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Proteus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Pyramidobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Ralstonia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Romboutsia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Ruminococcus2	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Senegalimassilia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Stenotrophomonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Stomatobaculum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Subdoligranulum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Succiniclasticum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Succinivibrio	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Sutterella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Veillonella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Veillonellaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Weissella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Unclassified	33.235332725676535	6.067910920155428e-8	2	Kruskal-Wallis rank sum test	0	0.019	0	NA	4.732970517721233e-6	30
Clostridiales Unclassified	28.373550271172327	6.89861395523595e-7	2	Kruskal-Wallis rank sum test	0.003	0.032	0.002	NA	2.6904594425420204e-5	30
Firmicutes Unclassified	22.910783759518495	1.0592208442128845e-5	2	Kruskal-Wallis rank sum test	0	0.003	0	NA	2.7539741949535e-4	30
Anaeroplasma	19.117647058823547	7.057578016950594e-5	2	Kruskal-Wallis rank sum test	0	0.001	0	NA	0.0013762277133053658	30
Porphyromonadaceae Unclassified	16.70154580350659	2.362138777358222e-4	2	Kruskal-Wallis rank sum test	0.12	0.188	0.001	NA	0.0036849364926788263	30
Clostridium XlVb	15.883802391593223	3.5552990340222617e-4	2	Kruskal-Wallis rank sum test	0	0.004	0.001	NA	0.00462188874422894	30
Bacteroides	15.496826792943429	4.3142650065360576e-4	2	Kruskal-Wallis rank sum test	0.182	0.074	0.247	NA	0.0048073238644258925	30
Ruminococcaceae Unclassified	13.76110822172142	0.001027574497203855	2	Kruskal-Wallis rank sum test	0.037	0.07	0.02	NA	0.010018851347737586	30
Butyricicoccus	11.235892703166739	0.003632092496085884	2	Kruskal-Wallis rank sum test	0.005	0.001	0.001	NA	0.03147813496607766	30
Turicibacter	8.951024874559632	0.01138438684530638	2	Kruskal-Wallis rank sum test	0.012	0.026	0.021	NA	0.08879821739338976	30
Acetatifactor	7.8447062382659976	0.019794461173399877	2	Kruskal-Wallis rank sum test	0.014	0.025	0.026	NA	0.1401611026575349	30
Enterorhabdus	7.6735299231847085	0.021563246562697674	2	Kruskal-Wallis rank sum test	0	0	0.001	NA	0.1401611026575349	30
Peptostreptococcaceae Unclassified	5.774889418386086	0.05571840759404859	2	Kruskal-Wallis rank sum test	0.003	0	0.001	NA	0.32060326551377866	30
Pseudoflavonifractor	5.710404700600787	0.05754417586144745	2	Kruskal-Wallis rank sum test	0.007	0.003	0.003	NA	0.32060326551377866	30
