otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	p.value.adj
Lachnospiraceae (OTU 32)	2.2566069258809276	0.5208847978428867	3	Kruskal-Wallis rank sum test	0.0045000000000000005	0.0015	0.0045000000000000005	0	0.5740363078268547
Lachnospiraceae (OTU 72)	2.168741355463352	0.5381315635675237	3	Kruskal-Wallis rank sum test	0	0.001	5e-4	0	0.5900325773126147
Lachnospiraceae (OTU 16)	2.045753064798605	0.5629649939830121	3	Kruskal-Wallis rank sum test	0.001	0.0025	0.0055	0.005	0.6141436297996495
Ruminococcaceae (OTU 60)	1.9038142620232115	0.592608364182108	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.643233199313243
Lachnospiraceae (OTU 17)	1.7715542521994065	0.6211445252113611	3	Kruskal-Wallis rank sum test	0.0015	0.0035	0.001	0.004	0.662691656605309
Lachnospiraceae (OTU 131)	1.7500000000000147	0.6258754534605696	3	Kruskal-Wallis rank sum test	0	0	0	0	0.662691656605309
Coriobacteriaceae (OTU 182)	1.7539682539682269	0.6250028115724419	3	Kruskal-Wallis rank sum test	0	0	0	0	0.662691656605309
Clostridium (OTU 201)	1.7539682539682269	0.6250028115724419	3	Kruskal-Wallis rank sum test	0	0	0	0	0.662691656605309
Lachnospiraceae (OTU 259)	1.7500000000000147	0.6258754534605696	3	Kruskal-Wallis rank sum test	0	0	0	0	0.662691656605309
Lachnospiraceae (OTU 30)	1.5688941454760457	0.6664632465944899	3	Kruskal-Wallis rank sum test	0.0055	0.001	0.004	0.002	0.6988158313806301
Lachnospiraceae (OTU 104)	1.5745614035087743	0.6651715061182517	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6988158313806301
Lachnospiraceae (OTU 31)	1.512937595129384	0.679287575437048	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.7088218178473544
Clostridiales (OTU 137)	1.362500000000008	0.7143479929352736	3	Kruskal-Wallis rank sum test	0	0	0	0	0.7418229157404765
Ruminococcaceae (OTU 61)	0.99574517019319575	0.8022814995957455	3	Kruskal-Wallis rank sum test	0	0	0	0	0.8291521718310098
Bifidobacterium (OTU 28)	0.9454545454545482	0.814446996225402	3	Kruskal-Wallis rank sum test	5e-4	0.001	0.001	0.0025	0.8377169104032705
Lachnospiraceae (OTU 116)	0.6176470588235212	0.8923808649442317	3	Kruskal-Wallis rank sum test	0	0	0	0	0.9092182397545002
Erysipelotrichaceae (OTU 142)	0.6176470588235212	0.8923808649442317	3	Kruskal-Wallis rank sum test	0	0	0	0	0.9092182397545002
Oscillibacter (OTU 45)	0.38646870554765944	0.9430233389230711	3	Kruskal-Wallis rank sum test	0	0.0015	0.0025	0	0.9563053577811426
Lachnospiraceae (OTU 113)	0.2326779026217339	0.9721491462917262	3	Kruskal-Wallis rank sum test	0	0	0	0	0.9812346523318357
Lactobacillus (OTU 9)	0.18945868945869174	0.9792728147960176	3	Kruskal-Wallis rank sum test	0.0095	0.0075	0.013000000000000001	0.008	0.9838275720741387
Lachnospiraceae (OTU 123)	0.07346767422333371	0.9948190264340423	3	Kruskal-Wallis rank sum test	0	0	0	0	0.9948190264340423
Porphyromonadaceae (OTU 15)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Alistipes (OTU 18)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 21)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 25)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteroidales (OTU 38)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 40)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 44)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 48)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridium_sensu (OTU 53)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 67)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 80)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 87)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 95)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 99)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteria (OTU 105)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Ruminococcaceae (OTU 106)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 107)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 124)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 125)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 127)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 136)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Alistipes (OTU 139)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Staphylococcus (OTU 156)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Anaerostipes (OTU 159)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 163)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Ruminococcaceae (OTU 169)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 170)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridium (OTU 172)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 173)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 175)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Enterobacteriaceae (OTU 176)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 177)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteroides (OTU 178)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 179)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 180)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridium (OTU 186)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Enterococcus (OTU 187)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 190)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Prevotella (OTU 191)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Veillonella (OTU 192)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 193)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 196)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 197)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Akkermansia (OTU 200)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Actinobacillus (OTU 202)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 203)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 205)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 208)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteria (OTU 209)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Firmicutes (OTU 210)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 211)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 212)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Corynebacterium (OTU 213)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteria (OTU 215)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Ruminococcaceae (OTU 217)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacillus (OTU 218)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Ruminococcaceae (OTU 219)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 220)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lactobacillus (OTU 221)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 222)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 224)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 225)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Listeria (OTU 228)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Dorea (OTU 229)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Streptococcus (OTU 230)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Fusobacterium (OTU 231)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Pasteurellaceae (OTU 233)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Oscillibacter (OTU 236)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteroides (OTU 237)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 238)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Pseudoflavonifractor (OTU 240)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 241)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lactobacillales (OTU 242)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Parabacteroides (OTU 245)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 246)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteria (OTU 248)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 249)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Akkermansia (OTU 250)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Coriobacteriaceae (OTU 252)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 253)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 254)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 255)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteroides (OTU 256)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Streptococcus (OTU 257)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 258)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Coriobacteriaceae (OTU 260)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteroides (OTU 261)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Faecalibacterium (OTU 262)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Acetatifactor (OTU 263)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Akkermansia (OTU 264)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 266)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Acidaminococcus (OTU 267)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridium (OTU 268)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 269)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Firmicutes (OTU 270)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 271)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 272)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Olsenella (OTU 274)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Parabacteroides (OTU 275)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 276)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Alistipes (OTU 277)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Firmicutes (OTU 279)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 280)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Aerococcus (OTU 281)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteroides (OTU 282)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteria (OTU 283)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales_Incertae_Sedis_XIII (OTU 284)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 285)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Veillonellaceae (OTU 286)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 288)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Alistipes (OTU 289)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 290)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteria (OTU 291)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 292)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteria (OTU 293)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lactobacillus (OTU 294)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 295)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteroides (OTU 296)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Pseudomonas (OTU 298)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Turicibacter (OTU 299)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 300)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 301)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Anaeroplasma (OTU 302)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 303)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteroidetes (OTU 304)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 305)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Akkermansia (OTU 306)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 307)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Ruminococcaceae (OTU 308)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteroides (OTU 309)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteria (OTU 310)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 311)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 312)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 313)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 314)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bradyrhizobium (OTU 315)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 317)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 318)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Roseburia (OTU 319)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Dialister (OTU 320)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 321)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 322)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridia (OTU 323)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Akkermansia (OTU 324)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 325)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 326)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Streptococcus (OTU 327)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 328)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 329)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 330)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Phascolarctobacterium (OTU 331)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Phenylobacterium (OTU 332)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteroidales (OTU 333)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteroidales (OTU 334)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Ruminococcaceae (OTU 335)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Blautia (OTU 336)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 338)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bilophila (OTU 339)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 340)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Escherichia/Shigella (OTU 342)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 343)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridium_sensu (OTU 345)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Butyrivibrio (OTU 346)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Akkermansia (OTU 347)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Akkermansia (OTU 348)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 349)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Fusobacterium (OTU 350)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 351)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Akkermansia (OTU 352)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 353)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Streptococcus (OTU 354)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 355)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Parasutterella (OTU 356)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Ruminococcaceae (OTU 357)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Enterorhabdus (OTU 358)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 359)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Akkermansia (OTU 360)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteroides (OTU 361)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 362)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Terrisporobacter (OTU 363)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 364)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 365)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 366)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteroides (OTU 367)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Veillonella (OTU 368)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Blautia (OTU 369)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Oscillibacter (OTU 371)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 372)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 373)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Turicibacter (OTU 374)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 375)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Ruminococcaceae (OTU 376)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 377)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 378)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Ruminococcaceae (OTU 379)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Atopostipes (OTU 380)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 382)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 383)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Parabacteroides (OTU 384)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 385)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Escherichia/Shigella (OTU 386)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 387)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 388)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridium (OTU 389)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteria (OTU 390)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 391)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Pseudomonas (OTU 392)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Corynebacterium (OTU 393)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 394)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 395)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Barnesiella (OTU 396)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridium_sensu (OTU 397)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Blautia (OTU 398)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridiales (OTU 399)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Bacteroides (OTU 400)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 401)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Butyricicoccus (OTU 402)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Burkholderia (OTU 403)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Clostridium (OTU 405)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Akkermansia (OTU 406)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Ruminococcaceae (OTU 407)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Enterobacteriaceae (OTU 408)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Peptostreptococcaceae (OTU 409)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 411)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lactobacillus (OTU 412)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Pseudomonas (OTU 413)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Porphyromonadaceae (OTU 414)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 415)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 416)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Lachnospiraceae (OTU 417)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Weissella (OTU 418)	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
