otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	1RM1	WMN	CN	p.value.adj
Anaerostipes (OTU 159)	20.98055555555512	0.01273703767553957	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.04110589431651406
Lachnospiraceae (OTU 225)	20.98314606741531	0.012725465670024439	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.04110589431651406
Lachnospiraceae (OTU 4)	19.445100801355274	0.021663321915682217	9	Kruskal-Wallis rank sum test	0	0	0.006500000000000001	0	0	0	0	0	0	5e-4	0.06886996370209421
Lachnospiraceae (OTU 123)	18.597655375662058	0.028839783722656113	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.09033638136655518
Olsenella (OTU 114)	18.26649776405619	0.03220459911272064	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.09941419726100718
Bacteroides (OTU 178)	17.800273999005466	0.037562705222273986	9	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0	0	0	0	0	0.11429794589063369
Akkermansia (OTU 3)	17.612549610963725	0.03994420816137428	9	Kruskal-Wallis rank sum test	0.001	0	0.059000000000000004	0	0	0	0.001	0	0	0	0.11983262448412282
Lachnospiraceae (OTU 113)	17.233333333333444	0.04518494090654811	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.13367211684853816
Staphylococcus (OTU 156)	17.112857507660852	0.046977693478409854	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.13707190014933288
Erysipelotrichaceae (OTU 142)	16.4356942215087	0.05832206284205206	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.1678729646669877
Porphyromonadaceae (OTU 190)	16.021150033046535	0.06644123127450643	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.18869309681959825
Lactobacillales (OTU 242)	15.786176470588163	0.07148328800029502	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.2003413203166163
Lachnospiraceae (OTU 24)	15.35833333333364	0.08155182748604496	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.22559141888996853
Lachnospiraceae (OTU 103)	15.231741573033862	0.08476397079986722	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.23147084333809895
Lachnospiraceae (OTU 90)	14.1666666666665	0.11651885997762448	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.2788597435419552
Ruminococcaceae (OTU 118)	14.1666666666665	0.11651885997762448	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.2788597435419552
Lachnospiraceae (OTU 205)	14.1666666666665	0.11651885997762448	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.2788597435419552
Blautia (OTU 369)	14.1666666666665	0.11651885997762448	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.2788597435419552
Escherichia/Shigella (OTU 386)	14.1666666666665	0.11651885997762448	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.2788597435419552
Dorea (OTU 467)	14.1666666666665	0.11651885997762448	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.2788597435419552
Lachnospiraceae (OTU 489)	14.1666666666665	0.11651885997762448	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.2788597435419552
Lactobacillales (OTU 712)	14.1666666666665	0.11651885997762448	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.2788597435419552
Lachnospiraceae (OTU 804)	14.1666666666665	0.11651885997762448	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.2788597435419552
Cloacibacterium (OTU 847)	14.1666666666665	0.11651885997762448	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.2788597435419552
Lachnospiraceae (OTU 2434)	14.1666666666665	0.11651885997762448	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.2788597435419552
Blautia (OTU 19)	14.061705909385578	0.12014709765637811	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.2843481311200949
Veillonella (OTU 192)	13.879213483145918	0.12668717628695178	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.29653152251781023
Prevotella (OTU 191)	12.653447896012464	0.17892447404328798	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.41424905403500367
Ruminococcaceae (OTU 61)	12.380392156863362	0.19270399037106292	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.4366590420110256
Clostridium (OTU 405)	12.380392156863362	0.19270399037106292	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.4366590420110256
Lachnospiraceae (OTU 66)	11.983333333333286	0.21425052411112358	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.47305943853493937
Porphyromonadaceae (OTU 67)	11.96251441753155	0.21543082412154513	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.47305943853493937
Parabacteroides (OTU 275)	11.983333333333286	0.21425052411112358	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.47305943853493937
Fusobacterium (OTU 350)	11.780898876404816	0.22594491637606565	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.4861239109909291
Romboutsia (OTU 428)	11.780898876404816	0.22594491637606565	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.4861239109909291
Porphyromonadaceae (OTU 15)	11.589489962651637	0.23745320235479161	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5007676445700061
Lachnospiraceae (OTU 47)	11.60393258426987	0.2365694207682147	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5007676445700061
Lachnospiraceae (OTU 30)	11.293610547667358	0.2561190972416595	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5296443467230434
Bacteria (OTU 43)	11.293610780709468	0.25611908211672113	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5296443467230434
Porphyromonadaceae (OTU 48)	10.648729946524067	0.30055698926896557	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Ruminococcaceae (OTU 98)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Lachnospiraceae (OTU 124)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Lachnospiraceae (OTU 140)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Clostridium (OTU 145)	10.354336299943071	0.3225684332306587	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Enterococcus (OTU 187)	10.430063502673983	0.3168032811382495	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Bacteroides (OTU 237)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Porphyromonadaceae (OTU 246)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Lachnospiraceae (OTU 272)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Olsenella (OTU 274)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Oscillibacter (OTU 371)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Lachnospiraceae (OTU 401)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Porphyromonadaceae (OTU 438)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Megasphaera (OTU 472)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Ruminococcus (OTU 477)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
