otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	M1	1RM1	p.value.adj
Enterobacteriaceae (OTU 176)	7.493638920854131	0.3793501433477533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6039079868237223
Olsenella (OTU 114)	7.4153375863900255	0.386951813410686	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6124894417986287
Lachnospiraceae (OTU 131)	7.343813311618056	0.39398082762343883	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6200720980209805
Ruminococcaceae (OTU 27)	7.238195689624791	0.40450765704516584	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6330430565057115
Lachnospiraceae (OTU 76)	6.910227592296539	0.4382864830232404	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6820525606597617
Lachnospiraceae (OTU 125)	6.825438001069434	0.4472788743619183	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6921578111634155
Lactobacillus (OTU 23)	6.7914828810355745	0.4509088793000458	7	Kruskal-Wallis rank sum test	0.006500000000000001	0.002	0.001	0.004	0.001	0.006	0.004	0.0025	0.6938986642561816
Ruminococcaceae (OTU 101)	6.674338319908163	0.46355640332422987	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7055226578066575
Lachnospiraceae (OTU 244)	6.674338319908163	0.46355640332422987	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7055226578066575
Clostridiales (OTU 35)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Lachnospiraceae (OTU 41)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Bacteria (OTU 43)	6.229215229215159	0.5132547177563133	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Ruminococcaceae (OTU 54)	6.092241899764084	0.5290210416774006	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Acetatifactor (OTU 55)	5.752361275088312	0.5689440901735227	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Lachnospiraceae (OTU 71)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Acetatifactor (OTU 79)	6.215368878660345	0.5148391598290154	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Ruminococcaceae (OTU 106)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Lachnospiraceae (OTU 133)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Acetatifactor (OTU 138)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Staphylococcus (OTU 156)	6.499999999999929	0.48272319341010544	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Actinobacillus (OTU 202)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Corynebacterium (OTU 213)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Lachnospiraceae (OTU 227)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Streptococcus (OTU 230)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Pasteurellaceae (OTU 233)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Anaerotruncus (OTU 234)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Streptococcus (OTU 257)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Faecalibacterium (OTU 262)	5.89649661168666	0.5518856956707417	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Lachnospiraceae (OTU 266)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Aerococcus (OTU 281)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Roseburia (OTU 319)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Dialister (OTU 320)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Porphyromonadaceae (OTU 325)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Streptococcus (OTU 327)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Blautia (OTU 336)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Bacteroides (OTU 400)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Megasphaera (OTU 636)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Streptococcus (OTU 647)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Streptococcus (OTU 662)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Bacteroidetes (OTU 672)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Aestuariispira (OTU 749)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Porphyromonadaceae (OTU 825)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Ruminococcus (OTU 1000)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Prevotella (OTU 1110)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Prevotella (OTU 1119)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Lachnospiraceae (OTU 1421)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Ruminococcaceae (OTU 2720)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Porphyromonadaceae (OTU 2752)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Alloprevotella (OTU 2755)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Akkermansia (OTU 3232)	5.750000000000203	0.5692249598786673	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7070641878313491
Firmicutes (OTU 129)	5.5667060212514565	0.5911505322710293	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7310209707101567
Alistipes (OTU 18)	5.4306818181812035	0.6075575879275112	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7479708971374249
Blautia (OTU 19)	5.372889419669218	0.6145567322466695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.753239888638617
Ruminococcaceae (OTU 50)	5.099383976753819	0.6478362347402611	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7905314406301864
Lactobacillus (OTU 13)	4.855355872377762	0.6776095750325526	7	Kruskal-Wallis rank sum test	0.005	0.004	0.002	0.012	0.005	0.013	0.004	0.006999999999999999	0.823236194228145
Enterorhabdus (OTU 109)	4.683519089996713	0.6985205478155925	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8449353351306512
Oscillibacter (OTU 57)	4.376895608330358	0.7354858880232247	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8857808303584053
Ruminococcaceae (OTU 147)	4.265734265733837	0.7487116960491508	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8900993124704497
Lachnospiraceae (OTU 160)	4.265734265733837	0.7487116960491508	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8900993124704497
Clostridium (OTU 172)	4.265734265733837	0.7487116960491508	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8900993124704497
Lachnospiraceae (OTU 34)	4.062500000000186	0.7725511501061075	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8916527857474656
Corynebacterium (OTU 393)	4.062500000000186	0.7725511501061075	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8916527857474656
Anaerotruncus (OTU 538)	4.062500000000186	0.7725511501061075	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8916527857474656
Enterorhabdus (OTU 856)	4.062500000000186	0.7725511501061075	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8916527857474656
Bifidobacterium (OTU 1008)	4.062500000000186	0.7725511501061075	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8916527857474656
Clostridiaceae_ (OTU 1146)	4.062500000000186	0.7725511501061075	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8916527857474656
Enterobacteriaceae (OTU 2503)	4.062500000000186	0.7725511501061075	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8916527857474656
Lachnospiraceae (OTU 140)	3.9770833333332836	0.7824131537032623	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8946826271728724
Parasutterella (OTU 356)	3.9556962025315876	0.7848659870144693	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8946826271728724
Enterobacteriaceae (OTU 408)	3.9556962025315876	0.7848659870144693	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8946826271728724
Lachnospiraceae (OTU 85)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Lachnospiraceae (OTU 112)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Lachnospiraceae (OTU 151)	3.218560606060722	0.8640743556939656	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Lachnospiraceae (OTU 157)	3.218560606060722	0.8640743556939656	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Lachnospiraceae (OTU 164)	3.2566168009207828	0.8602920154321281	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Lachnospiraceae (OTU 220)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Bacteroides (OTU 237)	3.218560606060722	0.8640743556939656	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Alistipes (OTU 277)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Lactobacillus (OTU 294)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Bacteria (OTU 310)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Bradyrhizobium (OTU 315)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Phascolarctobacterium (OTU 331)	3.2566168009207828	0.8602920154321281	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Phenylobacterium (OTU 332)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Escherichia/Shigella (OTU 342)	3.2566168009207828	0.8602920154321281	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Lachnospiraceae (OTU 343)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Akkermansia (OTU 347)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Burkholderia (OTU 403)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Akkermansia (OTU 406)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Peptostreptococcaceae (OTU 409)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Pseudomonas (OTU 413)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Chitinophagaceae (OTU 523)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Methylobacterium (OTU 901)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Lachnospiraceae (OTU 908)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Akkermansia (OTU 927)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Lachnospiraceae (OTU 960)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Lachnospiraceae (OTU 968)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Lachnospiraceae (OTU 1163)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Phyllobacterium (OTU 1234)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Bacteria (OTU 1373)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Lactobacillaceae (OTU 1535)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Porphyromonadaceae (OTU 4633)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Ruminococcaceae (OTU 5471)	2.681818181818071	0.9127954743936304	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.919433986934675
Lachnospiraceae (OTU 58)	2.2615714103057045	0.9439569473376113	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9439569473376113
Streptococcus (OTU 166)	2.2615714103057045	0.9439569473376113	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9439569473376113
Porphyromonadaceae (OTU 80)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Anaeroplasma (OTU 89)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcus (OTU 93)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 96)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 99)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 100)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 105)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 107)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 108)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 117)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 124)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 130)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 135)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 136)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Alistipes (OTU 139)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 146)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 154)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 155)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Anaerostipes (OTU 159)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 162)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 167)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 168)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 170)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 171)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 173)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 177)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 179)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 183)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 184)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 185)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 188)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 189)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 190)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Prevotella (OTU 191)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 194)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 195)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 196)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 198)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 199)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridium (OTU 201)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Coriobacteriaceae (OTU 204)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 205)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Acetatifactor (OTU 206)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 207)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 208)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 209)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 210)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 212)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 214)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 215)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 216)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 217)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Ruminococcaceae (OTU 219)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lactobacillus (OTU 221)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 222)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 223)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 224)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 226)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Listeria (OTU 228)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Dorea (OTU 229)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Fusobacterium (OTU 231)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 232)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 235)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Oscillibacter (OTU 236)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 238)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 239)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Pseudoflavonifractor (OTU 240)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 241)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lactobacillales (OTU 242)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 243)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 246)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Acetatifactor (OTU 247)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 248)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 249)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 251)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Coriobacteriaceae (OTU 252)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 255)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 258)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 259)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Coriobacteriaceae (OTU 260)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteroides (OTU 261)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Acetatifactor (OTU 263)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Akkermansia (OTU 264)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Coriobacteriaceae (OTU 265)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Acidaminococcus (OTU 267)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales (OTU 269)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 271)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 272)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Blautia (OTU 273)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Olsenella (OTU 274)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 276)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Firmicutes (OTU 279)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 280)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Bacteria (OTU 283)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Clostridiales_Incertae_Sedis_XIII (OTU 284)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Porphyromonadaceae (OTU 285)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Veillonellaceae (OTU 286)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
Lachnospiraceae (OTU 287)	NaN	NaN	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NaN
