otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	p.value.adj
Clostridiales (OTU 107)	20.827098055405113	0.004034661071879547	7	Kruskal-Wallis rank sum test	0	0.0025	0	0.002	0	0.001	0	0.0035	0.0361486864062042
Lactobacillus (OTU 9)	20.68792209199969	0.004260570110203749	7	Kruskal-Wallis rank sum test	0.004	0.0045000000000000005	0	0.006	0.007	0.007	0.029	0.003	0.037219697377817655
Lachnospiraceae (OTU 11)	20.482446631502384	0.004616655907441119	7	Kruskal-Wallis rank sum test	0	0	5e-4	0.003	0.002	0.008	0	0.001	0.03892983514733128
Lachnospiraceae (OTU 16)	20.47809840519003	0.004624494455946481	7	Kruskal-Wallis rank sum test	0.0115	0	5e-4	0	5e-4	0	0	5e-4	0.03892983514733128
Bacteria (OTU 108)	20.026884757179175	0.005511904424720066	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.045571638368667684
Firmicutes (OTU 96)	19.925531551611908	0.005732799178646523	7	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0.0045000000000000005	0.046566421398479656
Clostridium (OTU 22)	19.808511526316348	0.005998489117322187	7	Kruskal-Wallis rank sum test	0	0.001	0	0.001	0	0.001	0	0.002	0.047884490712416766
Lachnospiraceae (OTU 64)	19.61167094471339	0.006472464970939267	7	Kruskal-Wallis rank sum test	0	0.001	0	0.001	0.001	5e-4	0	5e-4	0.05079239460245561
Clostridiales (OTU 173)	19.080942378758635	0.007937525967506583	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0025	0.06125124204925913
Lachnospiraceae (OTU 63)	18.68752788876808	0.009224639551067467	7	Kruskal-Wallis rank sum test	0	5e-4	0	0.001	0.001	5e-4	0	0.002	0.07001652642859406
Lachnospiraceae (OTU 20)	18.536910005140626	0.009768704399266614	7	Kruskal-Wallis rank sum test	0	0.0035	0.002	0.005	0.003	0.0045000000000000005	0	0.006500000000000001	0.07295016349774908
Clostridium (OTU 51)	18.357083993524874	0.010458697013290991	7	Kruskal-Wallis rank sum test	0	0.001	0	0.001	0.0015	0.0015	0	0.0025	0.07686312249450362
Lachnospiraceae (OTU 41)	18.26505339808798	0.010829681993539488	7	Kruskal-Wallis rank sum test	0	0.001	0	0.001	0.001	0.0015	0	0.002	0.07834598067201223
